,text
61,#Harvey #Houston #shelters https://t.co/0VvyVjg5T7
62,@austintexasgov #AISDProud to welcome Gulf Coast neighbors and offer shelter from storm. Thanks @AustinISDFood for… https://t.co/O7WTatteJq
63,"Retweeted Houston OEM (@HoustonOEM):

If a Tornado Warning is issued for your area, seek shelter immediately. #houwx #Harvey"
64,"Awww, baby! So cute! Glad he found shelter ❤️ #Harvey #HurricaneHarvey https://t.co/oTxSNQjacf"
65,"Concerned about finding shelter?  Call 311 in #houston/ #HarrisCounty. High water Rescue?   OEM standing by at 911, to come get you. #harvey"
66,"If a Tornado Warning is issued for your area, seek shelter immediately. #houwx #Harvey"
67,Red Cross shelters open in Houston.  https://t.co/Kgq89hq64u #hurricaneharvey #houstonharvey #harveyhouston #harvey
68,"Our volunteers visited Delco shelter in #Austin today, making new friends. We helped two older couples find temp homes to stay in. #Harvey"
69,#Harvey When the power is out and you're sheltering in the hallway trying to keep calm while under a tornado warnin… https://t.co/0dEaJlFjFK
70,#hunkerdown @MCMSCoogs #Harvey is coming through! #takeshelter #stayinside #stayinformed 🌊
71,"If you are in need of shelter in the Houston area, see the information below. #Harvey https://t.co/LVGuMS0EhY"
72,@basilhaydens just poured one out while sheltering from a tornado warning with my husband &amp;dogs. Bout done with #harvey
73,"Mayor @SylvesterTurner &amp; @RedCrossHouston opening two shelters in Houston area, as #Harvey rain moves in. #abc13 https://t.co/fOZp8R0Yf0"
74,Updates from Austin: Abbott urges Texans to keep vigilance as he visits shelter w/#Harvey evacuees https://t.co/jYYrrth6YG via @HoustonChron
75,"⚡️#Moments:#Hawk takes shelter in #Houston #Texas man's #taxi before #HurricaneHarvey
#hurricane #harvey #Harvey2017
https://t.co/sKns4pYkvG"
76,Video of our hotel as it took severe #damage in #Rockport as we sheltered from #Hurricane #Harvey's eyewall. https://t.co/5c5LMN4BZo
77,The @RedCross has opened a Greenspoint-area shelter at the M.O. Campbell Center. No one here yet. #Harvey https://t.co/Zl4Lo2CYp8
78,Be safe Texas #Harvey #Texas take shelter property can be replaced you can't
79,Hurricane #Harvey shelters ! Please pass it on !! People still want to stay and now they asking for personal info... https://t.co/TAz6suPU5a
80,Hawk takes shelter from #Harvey https://t.co/d0I3QQ132l
81,.@GovAbbott @JohnCornyn @MayorAdler and state leaders visited the Delco Center shelter today to help with dinner se… https://t.co/3nM39sSHKU
82,"""I'm proud of the city of Austin,"" @GovAbbott says after visiting shelter here. #txlege #harvey #HurricaneHarvey https://t.co/gmuBu5CRRb"
83,"Pls donate to animal rescues and shelters 
#Harvey 

Poor dog abandoned in Texas as flood waters rise  https://t.co/iorhm4zt4q"
84,"Possible tornado in Pecan Grove in Richmond right now... if you're in the area, take shelter NOW. #houwx #Harvey"
85,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/obto14xIYp
86,"Trying not to think of all the family pets and shelter animals that will /are being left behind to die in #harvey, just like #katrina."
87,Wow. A very nasty squall will approach Houston within the next 1-2 hours. Seek shelter #Harvey https://t.co/bMe0x52jwb
88,statesman: #Harvey evacuee in Austin shelter: ‘Everyone’s been so helpful here.’ https://t.co/Fu0DRIoqD0
89,Texas @GovAbbott and @KirkPWatson chat after serving food at Austin shelter. #harvey #txlege https://t.co/FR0QV0qdFS
90,#Harvey evacuee in Austin shelter: ‘Everyone’s been so helpful here.’ https://t.co/Y03dSgy8Ol
91,Tornado warned cell to our west - if you live in this area get to shelter now. #Harvey #feederbands @TheWeatherNetUS https://t.co/0dEbCkoXuP
92,"A reminder from @RedCross in  #Dallas: shelters are for anyone escaping #Harvey, regardless of #immigration status. https://t.co/E9y5YhORLy"
93,"Texas: If you're under a tornado warning, seek shelter right away. Be safe. #Harvey #houwx #txwx https://t.co/sxvvYuL7Y6"
94,"With all due respect, don't send prayers, send food, water, shelter, supplies and volunteers to those who need it. #Houston #home #Harvey"
95,I encourage all Houstonians to seek shelter after receiving the tornado warning. Don't let your guard down! #Harvey… https://t.co/vw8iDvimeC
96,Many evacuees have no idea if they have homes to return to. There aren't tvs in the shelters. News is spread by word-of-mouth #harvey
97,There are lots of kids staying in the shelters. Parents say they would appreciate anything that could keep them occupied #harvey
98,Only about 40 people at the @cctmisd #FEMA shelter. Police say some are here because they don't have power at home.… https://t.co/AYX5cfDkTH
99,"Men staying at one of the evacuation shelters said pillows, baby wipes and hot coffee are immediate necessities. #Harvey"
100,Help #Harvey victims/refugees @RedCross OR https://t.co/W1TJ1vq0n0  Did you know that shelters don't provide them?
101,"Shirelle Franklin talks, hugs @GovAbbott at Delco shelter. Hear her family's evacuation story from Victoria on… https://t.co/R4MTRcZXgY"
102,"I'm at a shelter in Austin, TX, where @govabbott is meeting with evacuated Texans. #harvey #txlege  https://t.co/XMsdYvMz2j"
103,Texas animal shelters rally to house pets evacuated from Hurricane #Harvey https://t.co/KkKVl1yLzn
104,"@GovAbbott, Sen. Dawn Buckingham, @MayorAdler &amp; @TeamCornyn all here now at the Delco Center evacuee shelter in… https://t.co/hQHK6kw58v"
105,This is Wild ! Bird seeking shelter ...wow now I've seen it all...#harvey https://t.co/tUqeDPwnqs
106,"U.S. Senator for Texas @JohnCornyn has arrived at the Delco Center shelter in #Austin, talking with coastal evacuee… https://t.co/XEP702ZUhb"
107,"We're open today 4 #Harvey
&amp; we make a great storm shelter!  ;) https://t.co/x8humZJTEh"
108,The American Red Cross tells me there are now nearly 200 evacuees at the Delco Center shelter in #Austin.… https://t.co/o8vhzhwKzY
109,Spotted at shelter in austin: @EddieforTexas and Austin ISD Superintendent Paul Cruz. #harvey https://t.co/JQRi6Ynrqb
110,"Here's the area under tornado warning near Houston. If you're up there, you're being asked to shelter in place.… https://t.co/dm6Td2DJMa"
111,Some Port Aransas residents staying at the local shelter #HurricaneHarvey #Harvey #HarveyStorm #stxwx #PortAransas… https://t.co/wGTQCZA6na
112,"Additional Tornadoes are possible this evening. If a TORNADO WARNING is issued for your area, seek shelter. #Harvey… https://t.co/CtuZWBKRfp"
113,"@ThePMTeam Just emptied half of my 1st floor under stairs closet for tornado shelter that can hold me, the boys, mo… https://t.co/gSdUrSObCs"
114,"Take shelter NOW if you are around Lone Star College, near Barker Cypress #Harvey #Tornado https://t.co/5McDfKLl5x"
115,"#Harvey
If you're sheltering in place,stay indoors to avoid endangering yourself &amp; first responders.Listen to local officials.
vía @fema"
116,"💗☔💗 #QOTD “Love is a shelter in a raging storm...” ~W.B.

Thinking of all of our #LoveBirds affected by #Harvey. Ho… https://t.co/9QEllBonk4"
117,"fema:Texas: If you're under a tornado warning, seek shelter right away. Be safe. #Harvey #houwx #txwx … https://t.co/7wQtKlfwVf)"
118,"From fema: Texas: If you're under a tornado warning, seek shelter right away. Be safe. #Harvey #houwx #txwx … https://t.co/ypvFbWp4H2"
119,"Texas: If you're under a tornado warning, seek shelter right away. Be safe. #Harvey #houwx #txwx https://t.co/SbCErgTHfv"
120,Find open shelters in your area with the @fema App or text SHELTER and your zip code to 4FEMA (43362). Msg &amp; data rates apply. #Harvey
121,"#Harvey - Possible large #tornado near Huntington, east of Lufkin. Take shelter now. https://t.co/axpKeaf8XR"
122,#Hurricane Donations ~ DFW has 3 #Harvey evacuee shelters. Just dropped off towels &amp; toiletries at this… https://t.co/0qpYdCk7sK
123,406p- here's the TORNADO headed for Hockley &amp; Prairie View- take shelter right NOW!! #txwx #harvey https://t.co/7dDiZVa3kT
124,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/OBziIEnRzs
125,@GovAbbott @RedCross Update: @TeamCornyn &amp; @MayorAdler will join @GovAbbott during tour of Red Cross shelter tonigh… https://t.co/yhJronPDcg
126,Dial 211 if you are seeking a large or small animal shelter or holding facility. #harvey #HurricaneHarvery #txwx https://t.co/ONnPXz3orb
127,Info on DFW shelters for #Harvey evacuees. https://t.co/2ZnaWaV6Gc
128,@DallasShelter What extra items do you need to help in sheltering evacuated dogs from #Harvey?
129,Austin &amp; Travis County has partnered with Red Cross to provide shelter to approximately 200 coastal evacuees so far #harvey #ATXfloods
130,"Growing crisis at Rockport shelter: lacking cots, bedding, food, power. Only have enough water to last the day.… https://t.co/FiWarwdUtW"
131,There over 1100 #Harvey evacuees in San Antonio shelters right now. I spoke to Nancy who traveled with her pets and… https://t.co/l3BcBOwfGp
132,@GovAbbott @RedCross DELAYED: @GovAbbott pushes back visit to Red Cross shelter for a couple hours. I'll be there t… https://t.co/M89hDYlOSY
133,"In re #Harvey we demand: ICE must be kept away from hospitals, shelters, schools, jails, and other key places durin… https://t.co/L0qrIRcN1Z"
134,List of Hurricane #Harvey shelters around Houston area. #SignatureCareER #EmergencyRoom https://t.co/WGhfLTiC9K via @abc13houston
135,"In re #Harvey we demand: 3) While all resources must b made available 2 shelter ppl, gov't must not b allowed 2 tre… https://t.co/L9n9jJ9u4O"
136,Coalition for the Homeless partners are offering emergency shelter to homeless individuals/families during #Harvey:… https://t.co/Hw48Z8MrhS
137,Austin Animal Center is manning the animal area at the shelter. Thanks to the volunteers spending their free time h… https://t.co/jsTxguBXzg
138,"One family of five stayed at a Rapides Parish shelter last night but has since moved on, per @LouisianaGov #lagov… https://t.co/gkcvsoVZQ4"
139,"Some people have evacuated Texas bc of #Harvey and come to Louisiana, passed through. One family stayed in Rapides Parish shelter last night"
140,".@Louisianagov: Louisiana hasn't seen a major influx of people from TX evacuating #Harvey. 1 fam was sheltered in Rapides, has left. #lawx"
141,"@WWERoadDogg In Laredo... waiting for rain... shelters here are filling up, community coming together to help #Harvey"
142,TX @GovAbbott &amp; his wife headed to a @RedCross shelter here in Austin. I'll be there to cover it at 4pm. #txlege… https://t.co/0VUFQ2LZsQ
143,Please use 911 for emergencies only! Call 211 for shelter info.Floods can b tracked @hcfcd &amp; power outage info go t… https://t.co/CbuuBYsh4i
144,Help spread the word.  If you are seeking a large or small animal shelter/holding facility call 2-1-1 #hurricaneharvey #harvey #txwx
145,San Antonio Mayor @Ron_Nirenberg talks with #Harvey evacuees at south side shelter. @TPRNews https://t.co/rc39QsdRHu
146,#Harvey please shelter in place unless law/fire says it's ok. Wear tough boots if on foot (debris cuts) Assume all down pwr lines are hot.
147,"AgriLife Extension helping with #sheltering small, large #animals displaced by #Harvey https://t.co/gci1HKeWwy"
148,"If additional shelters are needed, locations will be shared here and on Facebook #harvey (2/2)"
149,"If sheltering in place for Hurricane #Harvey:
📢Listen to officials
📱Tell people you're okay
🔋Charge devices
https://t.co/z5r4ybF8WE
 @fema"
150,Flash flooding is very likely overnight tonight. Visit https://t.co/E85hQ5hiGh to find a shelter near you. (1/2) #harvey
151,"MT @houstontx: Updates for Houston: watches, flood preparations, flood prone locations, &amp; shelters here:… https://t.co/kNaZ7ivZvP"
152,"statesman: PHOTOS: #Harvey drops rain, crowds shelters in Austin   https://t.co/Xy5jCtnmbH https://t.co/YebSKhL3JB"
153,@saveourshelter @EmmanuelTweets @RockyKanaka @DogforDog @TheDogBakery @CBS #Harvey #HarveyPets #HarveyAnimals Need… https://t.co/WoZd207opu
154,"PHOTOS: #Harvey drops rain, crowds shelters in Austin   https://t.co/nYv0CmkURs https://t.co/kXwEKOXzsW"
155,Praying for Texas and the counties affected by Harvey : Please seek shelter- and please evacuate if you are told to please #harvey:  hold on
156,"Sad. Wish people would bring their pets in and shelter them, especially during times like these. #harvey https://t.co/4EjlOOgdLJ"
157,"Second shelter in Dallas filling up with #Harvey evacuees from Houston, Freeport, Tomball. @NBCDFW https://t.co/eHkmCjEToy"
158,"Updates on current watches/warnings for Houston, flood preparations, flood prone locations, &amp; shelters here:… https://t.co/A3rozxzEwk"
159,"CHECK OUT: Interactive map of @RedCross shelters in Texas. 
Please share with those who may need it. 
#harvey #txwx… https://t.co/fVZk4t5ufa"
160,"CHECK OUT: Interactive map of @RedCross shelters in Texas. 
Please share with those who may need it. 
#harvey #txwx… https://t.co/EjT7zpjAur"
161,"CHECK OUT: Interactive map of @RedCross shelters in Texas. 
Please share with those who may need it. 
#harvey #txwx… https://t.co/wJ6Lokro9H"
162,".@GovAbbott and First Lady Cecilia Abbott will visit a Red Cross shelter in Austin at 4 p.m., according to the governor's office. #Harvey"
163,All I can think of is the poor homeless and abandoned animals without shelter during #Harvey
164,.@SalArmyHouston has opened up shelter at Sally's House for women at 1717 Congress Ave. &amp; Family Residence @ 1603 McGowen St. #harvey #houwx
165,.@SalArmyHouston opened up shelter at the Harbor Light Center for men @ 2407 North Main #Harvey #HouWx #TXWX #hounews #hurricaneharvey
166,"TX Gov Abbott when asked re: undocumented ppl being turned away from shelters: ""I have no info re: that"". Why not??? #Harvey"
167,Gov. Abbott said he had no information to question about undocumented immigrants being turned away from shelters. #Harvey
168,Gov @GregAbbott_TX says he has no information about undocumented immigrants being turned away at shelters #Harvey #TxLege
169,"Seek shelter and avoid the roads if possible, Houston! #Harvey https://t.co/jgooVqC65g"
170,Find open shelters in your area with the FEMA App or text SHELTER and your zip code to 4FEMA (43362). Msg &amp; data ra… https://t.co/kKE7AARZiS
171,"Taking shelter #harvey @ Shady Hollow, Texas https://t.co/YLy0nqUrzc"
172,San Antonio mayor says city prepared to offer shelter to neighbors in coming weeks in aftermath of Hurricane #Harvey
173,A listing of most known mandatory and voluntary evacuation orders around the Harris County area along with shelter… https://t.co/JWRCavMAVP
174,Scared injured and lost pets need shelter #lostpets #Harvey #Texas https://t.co/WnnPy5VzUO
175,"San Antonio Mayor @Ron_Nirenberg says everyone is welcome at area shelters, no IDs necessary. #harvey"
176,#Harvey #shelter https://t.co/j3qNDY15UI
177,@LHuffmanPowell @MushKat Can someone please help him? Get him to a shelter? I'll pay for his care! #harvey… https://t.co/I9m8qasGst
178,"Disgraceful and inhumane: @ICEgov abandoned 50 women and children, penniless and w/o shelter, as #Harvey approached. https://t.co/mEUGqyEePO"
179,Find open @redcross #shelters on this map https://t.co/xKneOo9UJn #harvey
180,"Victoria, TX residents shelter in place from #Hurricane #Harvey video https://t.co/Crt2nb8oF3 via @youtube, NBC"
181,@RedCrossDFW material donations accepted at Trusted World 15660 Dallas Parkway 75248 #Harvey @DallasOEM maybe opening another shelter 1/2
182,It's pretty cool to see all these local people taking care of the news broadcasters and storm chasers with food and shelter. #harvey
183,".@RedCross has shelters open along the path of Hurricane #Harvey. To find a location, visit: https://t.co/FAMI5VzoE2"
184,Walnut Hill shelter @ capacity (300 ppl).Tommie Allen sheltr (7071 Bonnie View Rd.) ready 4 guests to arrive #Harvey https://t.co/Ks78mwio3a
185,#HurricaneHarvery is killing my #SummerVibes.....but I'm grateful to be under shelter 🙏 #Harvey
186,#Harvey victims you are loved. do not be afraid but seek safe shelter if you are already safe stay safe. look 4 the helpers
187,"If you're sheltering in place, stay indoors to avoid endangering yourself &amp; first responders. Continue to listen to… https://t.co/K6XBH4ZZ8g"
188,#SanAntonio #sheltering about 1000 #hurricaneevacuees https://t.co/BImZgbjnpk @exprenews #News #shelters #hurricane #evacuees #Harvey #Storm
189,#RedCross of north LA hosting a sheltering class until 12:30 pm. Volunteers can sign up to help those impacted by… https://t.co/AsuurYxLJi
190,The NWS has updated the current forecast for Harvey. Take shelter if in red/yellow/gray. #NWS #HARVEY #Woke… https://t.co/c2GTPgpUJU
191,"#Harvey isn't over,shelter in place. As @SpaceCityWX writes:This is a marathon,not a sprint. https://t.co/7pe06zt3ma https://t.co/8uBLhQhUsX"
192,Sorry about effects in #Rockport from #Harvey. Glad it wasn't worse in #CorpusChristi. Wishing everyone safe shelter riding it out. #Texas
193,Lots of volunteers here to train today! There's still time to join us at 3642 E Houston St to register as a shelter… https://t.co/Ak8aUlhYd0
194,The Food Bank is delivering thousands of meals to hurricane shelters. Find out how to help at… https://t.co/cxYOniC4ty
195,VIDEO: wall missing from our hotel shelter on entire side and collapsed stairwell via #Harvey Thankfully got to oth… https://t.co/yJKqjuk8kk
196,"SA sheltering about 1,000 #Harvey evacuees https://t.co/wscFdF7FnC via @expressnews"
197,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/23mvLFweXe
198,"If sheltering in place for Hurricane #Harvey:
📢Listen to officials
📱Let family know... https://t.co/2XFqq0vhWY by #MCGocher via @c0nvey"
199,@CityofGalveston .. Galveston County evacuation shelter moving from La Marque to League City at Noon. Details:… https://t.co/Hp2BDSBrVd
200,"Upwind side of our shelter in Rockport, TX wall is gone here is stairwell #Harvey @breakingweather https://t.co/2anlIjkH44"
201,Google Maps has a clickable shelter-finder for those in the path of #Harvey https://t.co/5sfUHNyPvv
202,Prepare to shelter in place during heavy rainfall associated with #Harvey. https://t.co/debkG9Xr36
203,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/fjUEsMgszg
204,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/PRadCEIHCY
205,Hypocrite Christian Texas governor says undocumented immigrants won't need to show ID to access #Harvey shelters https://t.co/SGsFJtnaC8
206,@GovAbbott @realDonaldTrump Take shelter ONLY in the bathroom that matches the gender on your birth certificate. #Harvey #HarveyStorm
207,"@FoxNews nd has and oil. That's shelter, food, clothes and rescue and counselors and insurance assistance, security… https://t.co/cAnYt4XNoN"
208,🙏🏼 Good vibes to @Airbnbfor this one!  #Airbnb offers Hurricane #Harvey evacuees free shelter https://t.co/zfA2VlxsDO
209,"The Franklin family from Victoria, is one of several at the Delco Center shelter. Follow our continued live coverag… https://t.co/5cmBQPT8mi"
210,"When they tell To to take shelter from a tornado, even the dog's in the hallway. #Harvey #tornadowarning #KPRC2… https://t.co/twhfLTC6xf"
211,"If you need a #shelter or to find shelters, PLEASE CALL 211. @RedCrossHouston #Harvey #HurricaneHarvey @ReadyHarris @houstontranstar @hcfcd"
212,"#Harvey not coming to Mo, but lessons 4 us:
▶️Do u have essentials to shelter in place?
▶️To get thru w/out power?… https://t.co/CFpgx8qwNW"
213,"First responders &amp; shelters, thank you!👍🏼👊🏼To help people, pets or both, now is a great time to donate or volunteer… https://t.co/QhqrDLrAoi"
214,@MrsVirtSecurity @actualtechmedia @Datrium @spousetivities @furtivities Charlie get out of that pool #Harvey is coming!   Seek shelter.
215,"Red Cross opening new shelter at Bay Harbour United Methodist Church, 3459 FM 518 in League City. #Harvey"
216,Residents needing to shelter livestock call 979-264-3878 for availability #Harvey #BrazoriaCounty
217,"Expo Center in Abilene offers shelter to hurricane evacuees with animals. #txwx #harvey

https://t.co/kyXlIWTCQQ"
218,County plans to move mainland shelter to League City #Harvey https://t.co/y08bCgdtLe
219,"#TX - if you need shelter in Austin, the Delco Center is open. #Harvey #HurricaneHarvey #hmrd https://t.co/vMJ5fhAe4o"
220,"#ICYMI: Rockport residents seek shelter with Austin family, unaware of home's condition after #Harvey hit… https://t.co/XHGrPR1D7S"
221,@MichelleKHOU interviews w/ Mike are needed this AM! He's affected by #Harvey but seeking shelter and staying positive. Glad he's in #HOU
222,"Animals are often left behind during disaster. Help a local shelter w/your time/$$/supplies #Harvey @HumaneSociety
https://t.co/CzASDosvrY"
223,"@ThomWise Shelter lists are maintained by the state, so the best way to find current shelter locations is by calling 211. #Harvey"
224,Full house at our first shelter training this morning! There's still time to join us if you're interested in volunt… https://t.co/8a9r7DSSI2
225,"Conditions deteriorating. Pls keep families, pets inside. Clear path for first responders, those seeking shelter.… https://t.co/BPnukGiPQO"
226,.@CityOfDallas is opening its second shelter for #Harvey evacuees at Tommie Allen Recreation Center. https://t.co/mwk1M6iu8m
227,shelter from the storm in Gun Country Texas - bullet in the head- dead - motive lost at sea #harvey lost story
228,"AgriLife Extension helping with sheltering small, large animals displaced by #Harvey https://t.co/6Q5EGmncL8 https://t.co/5R75qkSsAm"
229,We're open! Join us at 3642 E Houston to register and train to be a shelter volunteer. We'll be here until 2pm.… https://t.co/cDkwhiY6do
230,"Today, many people w/ different backgrounds are in shelter together bc of #Harvey.  They depend on your #compassion &amp; #local #leadership."
231,@JimCantore Relieved to hear that you're safe! Praying for those that sheltered in place. #prayfortexas #Harvey
232,First tornado warning of #Harvey  = sheltering with the cat in the hall closet of our window-filled house.
233,"Why culture is so important for emergency communications: In the northeast we shelter in place. In TX, they hunker… https://t.co/OEWWPOk5yi"
234,Tornado warning near our house in College Station. We are taking shelter in a safe place. Everyone please be safe! #harvey
235,"Pets of Harvey evacuees will be sheltered in S.A., but separately from owners, officials said https://t.co/Q1S5eMrXVD #harvey"
