,text
71,Please help Texas if you are able! Thousands displaced with more rain / flooding coming #houstonflood #Harvey https://t.co/FHSbcW6kyL
72,"So, when will @peta step up and actually do something to help all the animals being displaced by #Harvey? PETA = frauds"
73,"Houston Canes: If you’ve been displaced or need anything, please let us know so we can help! Send is a DM for more info. #Harvey #CanesFam"
74,"Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston https://t.co/Brwmr3Gc1v"
75,Sent $100 to @spcaoftexas (including corporate match) to help w/displaced pets from #Harvey Will get soap to @austinpetsalive this week.
76,1/ @realDonaldTrump @potus how about tweeting about the millions displaced by #harvey how about actually caring?
77,"Okay, this is now the most Texas thing I've ever seen. Northeast of Houston, animals are being displaced by #Harvey… https://t.co/bkMlnjotjc"
78,@aaronjayjack Great looking blue tick! Someone will definitely be missing this pup. #HurricaneHarvey #Harvey #displacedpets #PetsLife
79,Lots of displaced folks and lots of work ahead in Texas. I just donated to Red Cross. If you are able please consider the same. #harvey
80,Thoughts are with those displaced and experiencing the ongoing devastation of #Harvey #houstonflood… https://t.co/lFq8ZHk77d
81,Many displaced by #Harvey will be parents w/small kids. TX Diaper Bank is creating disaster relief kits for them. https://t.co/UYYpiqIiCp
82,"Please continue to pray for all of us affected by #Harvey. Many, many flooded homes and displaced families and we are not through it yet."
83,"Join me to help homeless youths displaced by that goddamn #Harvey 
https://t.co/WF0VnsX7aJ"
84,@bjsrestaurants Being displaced is an awful feeling. Thank you for your hospitality 💗 #Harvey #AdventuresOfMax… https://t.co/3ML0eMyuci
85,"Worth remembering that Katrina displaced many people who resettled in Houston. Now, all over again for them. #Harvey"
86,Excellent place to donate to help rescue pets/animals displaced in #Harvey https://t.co/LsFqKVPStE
87,"Judge Ed Emmett really cares. Even about displaced people with pets, allowing them in shelters. #Harvey"
88,Harmony School @HPSExcellenceSA gathering donations for people displaced by #Harvey.  See list of needed items and… https://t.co/mY3NMk5Agr
89,Well said 👍 donate to Red Cross for victims displaced by #Harvey! #HoustonFloods #Texas https://t.co/rqhcAgKikC
90,I'm devastated for the humans and animals displaced and terrorized by #Harvey
91,"If you know someone displaced by #Harvey, please record #GameOfThronesFinale for them. And in the meanwhile, folks, No Public Reveals!"
92,My brother survived Katrina/was displaced for a month.  Once able to return everything in his home was destroyed by… https://t.co/CyjLZYD8Yl
93,@JoelOsteen You should open your Lakewood Church to these displaced people.  It is in Houston correct?  Jesus would do it Joel. #Harvey
94,"@weatherchannel make sure ppl know about displaced animals(gators, snakes, ants) #houstonflood #Harvey"
95,As POTUS you have an obligation to take care of American displaced by #Harvey As a Billionaire you should give your… https://t.co/CXvZkcgpZ8
96,@Spicerlies @realDonaldTrump As POTUS you have an obligation to take care of American displaced by #Harvey As a Bil… https://t.co/G0HYR2kuw3
97,@EdKrassen @realDonaldTrump As POTUS you have an obligation to take care of American displaced by #Harvey As a Bill… https://t.co/irV7C70sVd
98,@Amy_Siskind @realDonaldTrump As POTUS you have an obligation to take care of American displaced by #Harvey As a Bi… https://t.co/vXnQAs6Apv
99,As POTUS you have an obligation to take care of American displaced by #Harvey As a Billionaire you should give your own money to support.
100,Dallas Texas is opening a mega shelter for people displaced from Hurricane #Harvey
101,"@Airbnb @RedCross @FeedingTexas You can help animals displaced by #Harvey via local Humane Societies
✅Houston:… https://t.co/QLQApczmRh"
102,If anyone displaced by #Harvey needs a contact in Dallas please contact me via DM. I can help you find shelter and support! #prayfortexas
103,Mattress Mac taking in displaced Harvey folks but Joel Osteen nowhere in sight 🤔🤔🤔 #TexasFlood #tsharvey #Harvey
104,Many of the people displaced by Katrina in New Orleans moved to Houston. Hard to think of some experiencing such a trauma twice. #Harvey
105,Heartbreaking scenes out of #Houston where #Harvey victims have been displaced by historic flooding. https://t.co/mzbqYJEwGT
106,Excellent idea! Trump will no doubt show his deep love for Americans and those displaced by #Harvey. /s https://t.co/8vMrnCavwA
107,Heartbreaking scenes out of #Houston where #Harvey victims have been displaced by historic flooding. https://t.co/FISPIsdrUr
108,"""The skies let loose."" Tonight on @whiotv at 6 - my conversation with the UD grad displaced in Texas by #Harvey https://t.co/6GMLFHGuDS"
109,There will mostly likely be a lot of displaced animals in need bc of #Harvey https://t.co/cBCCHyetgS
110,Get some cruise ships to TX coast to help house/shelter/feed/care for those displaced citizens  #Harvey #HoustonFlood2017 #staysafeTX
111,Thinking about all of our @uh_cfsl Greeks who were displaced from their chapter homes due to #Harvey flooding. Please stay safe!
112,Animal Defense League of Texas looking for foster volunteers for pets displaced by #Harvey. Also donations. https://t.co/YHsQQs6NoS
113,Many people who were displaced by Katrina moved to Houston... then came Harvey. #2ndtime #Harvey
114,Can't help but wonder how many Houston and Texas residents experiencing #Harvey are there because they were displaced by #Katrina.
115,Some school districts in Rio Grande Valley enrolling students displaced by #Harvey We're located 6 hrs from  Houston. That's #TexasStrong
116,Donate $10 to Red Cross to help people hurt/displaced by #Harvey - text 90999 https://t.co/3ooD1TkhcK
117,@politico To do what? It'll still be raining. Houston can't handle protecting Trump and those displaced by #Harvey.
118,#runge #texas #harvey #displacedpets #pets #missing https://t.co/oKS7tzeunF
119,A @univofdayton graduate among those displaced by #Harvey. Talked with him over Skype. Check out photos from his ho… https://t.co/N6Lrf7yrlw
120,Shouldn't every property owned by Trump and his family be offering assistance for those displaced by #Harvey ?
121,Do you have any friends/family who have been displaced by #Harvey and are staying in #Kentuckiana?  @WHAS11 would love to speak with them.
122,"For all my Houston brothers and sisters, displaced or not spread the word! Thoughts, prayers, and Godspeed to every… https://t.co/9n4UyKIXuG"
123,Poor little dog... Hope you find his owner. Thank you for picking him up. #Harvey #displacedpets https://t.co/CyxYcfKt9m
124,@spcaoftexas doing lifesaving work saving #displacedpets from #Harvey. #rescuefosteradopt https://t.co/A1P1ZyOCjv
125,List of shelters in #Houston if you have been displaced by #Harvey and #houstonflood https://t.co/lCWFYA5Ov3
126,Awww #bless #harvey #displacedpets https://t.co/BXimRyeIoH
127,Thanks also to @CFCoworking &amp; @JoshuaBaer for helping out #Houston tech folks displaced by #Harvey! https://t.co/GGAotyYTT6
128,"Animal Defense League of Texas is also helping pets that are displaced/lost needing help during #Harvey #Texas
https://t.co/MGx2yufutK"
129,PSA: Mon 8/28 @fibercove will be free &amp; open to the public for coworking. If displaced from #Harvey or w/out power… https://t.co/4XDicFGNKD
130,@SouthwestAir do you have a disaster rate for people trying to get home who’ve been displaced by #Harvey
131,IGNORE ALLIGATORS seeking high ground. Leave alone until #Harvey water recedes. Expect displaced Gators=gator+flood… https://t.co/LqSeDf9Upn
132,All thoughts are with those affected by #Harvey flooding esp the many Houston res. displaced by Katrina. Can't imagine doing this twice.
133,"The city of Houston, took in so many victims of Katrina. Here 12 years later, NOLA may have to do the same for those displaced by #Harvey"
134,Donated to @austinpetsalive They are making heroic efforts to care for animals displaced by #houstonflood #Harvey https://t.co/HMY80TkAYg
135,.@realDonaldTrump so when are you going to offer free rooms in your hotels to house displaced #Harvey residents? #LOVE
136,Donate to the Red Cross to help the many people displaced and in danger because of #Harvey--Every little bit helps! https://t.co/t4r2aj3yL2
137,@UNTPrez what can #UNT do to help college students #displaced by #Harvey?
138,Airbnb has launched a portal so that the people who have been displaced by the hurricane #Harvey can find a place to stay.
139,"I'm displaced, buy me McDonalds #harvey"
140,If you live in League City @bayarea_church has opened its student center as a shelter for those displaced. 4800 W. Main Street. #harvey
141,Waugh Bats being displaced. Go home Harvey. #houstonflood #Harvey https://t.co/oBMaNRYUal
142,@susantillis Pls let us know if LKN community will organize a way to send essentials to the displaced. #Harvey #PrayersforTexas #TexasFlood
143,ADVICE from @txgatorsquad: You may see alligators. They are displaced too. #Harvey #HoustonFlood https://t.co/q1L4Zaq1Wr
144,Friends: I have a have an open guest room if you are displaced by #Harvey. Let me know if you need a place to stay.
145,"Gov. Greg Abbott praised the ""resilience"" of those displaced by #Harvey and was moved by their resolve and courage: https://t.co/UtPaNUEiAx"
146,"Well done @Airbnb connecting homeowners with displaced neighbors +relief workers deployed to help! #Harvey #Shelter
https://t.co/kjleOCmDBj"
147,"We anticipate 1000s of displaced Texans, &amp; huge increase in demand for assistance. If you can offer time, space or $ please DM #Harvey (2/?)"
148,Not the best look to campaign while millions of Americans are displaced by #Harvey but if you insist @LacledeCoDems… https://t.co/IEeCyuBl3K
149,".@michaelstrahan pls pray for us in your hometown, especially those displaced from homes. It is a mess down here! #Harvey #PrayForHouston"
150,"If you would do this to dogs, you should be arrested and prosecuted. #displacedpets #HurricaneHarvey #harvey… https://t.co/5oJuI1KMYs"
151,"Houston/SE TX #greyhound owners displaced by #Harvey: We can take in a pup or 2 &amp; have a queen air mattress 4u in Little Rock, AR. @GaltxOrg"
152,Heartbreaking for everyone including animals. #displacedpets #Harvey #Harvey2017 https://t.co/youYLyfkJf
153,@IvankaTrump @realDonaldTrump Yup Demented thousands are being displaced #Harvey &amp; Nero is fiddling #Scumbags https://t.co/HoYFGqhnvD
154,"will the folks displaced by #Harvey end up in Obama's secret FEMA camps, or will those poor people finally be released?"
155,Are there shelters open in Houston? Seems like a lot of interviews I've seen with displaced flood victims don't know where to go. #Harvey
156,#harvey #displaceddog  Please share https://t.co/qaSn5VnrNA
157,"I'm hoping that @utrgv will offer to accept students displaced by #Harvey, as UTPA did when Katrina hit New Orleans."
158,"#Harvey #HurricaneHarvey #Harvey2017 
Please help Stacey find her #displaced cat, Shadow in #CorpusChristi… https://t.co/KBIwiLzo9G"
159,"Houston is underwater. People are dead and displaced. The President is retweeting people attacking anti-fascists. 
#houston #harvey #trump"
160,If you or any one you know are displaced and in need of a space to work out of- our doors are open #ATX #harvey… https://t.co/WATgV0MmVK
161,Here is a list of #shelters if you have been displaced from #Harvey #Houston cc: @VolunteerHou https://t.co/u7mVEgSOi9
162,I hope seeing 1000s of displaced ppl in US from climate disaster will help N. Americans understand &amp; empathize w/ refugees. #climate #harvey
163,School starts at @dallasschools today. Superintendent says district prepared to help w/ displaced students from coa… https://t.co/pZRBhAKYMa
164,@ABC #Harvey has displaced 6.8M
165,Pro tip: Don't let your wind eaten brain read the FB posts from all of your displaced friends first thing in the morning. #harvey #day4
166,"#Katrina displaced 1M people. In contrast, #Harvey has displaced 6.8M. The catastrophe is still unfolding. Help if… https://t.co/fWjjyIV9zj"
167,"#Katrina displaced 1M people. 
#Harvey has displaced 6.8M
The layers of catastrophe will be felt for months, if not… https://t.co/sfDdB0hwmj"
168,"I'm not making light of human need, but @HoustonSPCA could use donations for #Harvey #displacedpets. https://t.co/2y0NN6n5q6 #donate"
169,.@OmniHotels pls open up ur doors free of charge to the displaced persons affected by #Harvey #peoplebeforeprofit #emergency #housing #help
170,"100% goes to First Responders displaced by Hurricane #Harvey 
https://t.co/613hgNgpvY Get yours now and help our brothers and Sisters in TX!"
171,.@ChoiceHotels u have many hotels in TX area. Pls open up ur doors free of charge to the ppl displaced by #Harvey #peopleoverprofits #help
172,.@hotelsABVU please open ur doors free of charge to displaced persons #Harvey u have locations in #Austin. #peoplebeforeprofits #emergency
173,.@whitelodging Pls open your doors free of charge to the people displaced by #Harvey #peopleoverprofits in ur Austin hotels. #housepeople
174,#Houston battles #Harvey hurricane. Thousands displaced and getting rescued https://t.co/JdDjyZSlhy
175,Historic flooding has displaced residents in the #Houston area and the rain is far from over. #Harvey https://t.co/AYYSPU1ERr
176,Historic flooding has displaced residents in the #Houston area and the rain is far from over. #Harvey https://t.co/kJgFePsKn0
177,"@2Echo68Whiskey: 'Dogs displaced by #Harvey are coming in at 60 per hour.  
#Ho… https://t.co/BLhFBI6MdV, see more https://t.co/4TIhkQCVTN"
178,"Top story: @2Echo68Whiskey: 'Dogs displaced by #Harvey are coming in at 60 per … https://t.co/eGMztRuNAY, see more https://t.co/dIHza0JoFW"
179,Charitable groups &amp; local hospitals are working to open Dallas shelter for people displaced by #Harvey: https://t.co/LBikmPNO7w
180,@HumaneSociety Huston 's Shelter website says they are open with skeleton crew! Donate to help animals displaced by #harvey
181,With Trump having #housing experience let's see what he does to #help #Harvey displaced persons with #shelter . #HurricaneHarvey #disaster
182,"Shelters &amp; rescue groups are taking in displaced #Harvey pets here:
@spcaoftexas
@austinpetsalive
@DallasShelter
@sahumane"
183,"Please consider fostering a cat, dog or other displaced pet until they can be reunited with their family!  #Harvey… https://t.co/X9sB9S8cTu"
184,"Local Red Cross volunteers heading south to help those displaced by #Harvey 
https://t.co/23VtIBrMvo"
185,Please remember animals displaced by #Harvey when you make donations https://t.co/Tl94Z6YIrH
186,If you want to help the animals displaced by #Harvey go here &gt;&gt;&gt; https://t.co/kNBq71WLi9
187,"Many of our #TWUPT #dptstudent and #PT faculty in #Houston are displaced, flooded. Any help welcome. #HoustonStrong… https://t.co/4NnSYe20Ki"
188,"Know of a good ANIMAL RESCUE site in TEXAS that is helping with displaced animals? Pls let me know and let's get the link out. 
#Harvey"
189,"Retweeted Ranger° (@2Echo68Whiskey):

Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston... https://t.co/UYYg6HcCNx"
190,@ragtubers Displaced dog jumped into my jeep. Please share to help find owner! #harvey #hurricane #displacedpets… https://t.co/Np9J5k0BmF
191,"We still have a Katrina rescue cat. Rescuers are reporting 60 displaced dogs an hour. 

#Harvey"
192,"@aaronjayjack there are sooo many displaced babies

this shit kills me!

#harvey"
193,"Retweeted Ranger° (@2Echo68Whiskey):

Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston... https://t.co/uzsHftq1Kj"
194,Foster homes desperately needed for #Harvey displaced rescued pets🙏 https://t.co/zFkNpGAD1C
195,"Also lots of displaced pets needing shelter. If you can help, contact @spcaoftexas #Harvey"
196,"#Houston FD rescuing animals displaced by #Harvey 

Life is more important than property https://t.co/6OUI4qMZ4j"
197,"*Donation info for rescued &amp; displaced #Texas pets.
#harvey #hurricane https://t.co/bDJCkLLhua"
198,Please help all of the animals displaced by Hurricane Harvey. Any amount helps. #harvey #Houston… https://t.co/i0Hrk8HpZz
199,Pastor @JoelOsteen is your church open &amp; accepting those people displaced from storm? You can have a huge impact on folks wellbeing.#harvey
200,"#Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston @newnewspage https://t.co/QWc1jtI6bF"
201,"Retweeted Ranger° (@2Echo68Whiskey):

Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston... https://t.co/SV4VYHwDrZ"
202,"If you want to help stray or displaced animals in wake of #Harvey, here's a few places to start: @HoustonSPCA, @BARCHouston, @ScoutsRescue."
203,#RedCross shelters open in Texas for those displaced by #Harvey. Visit https://t.co/LFA63IUBCD for a safe place to… https://t.co/QkMy5NegDV
204,2 extra bedrooms in Athens GA for displaced #Harvey victims. DM for more info. Must confirm need &amp; residency in affected area
205,Just occurred to me: how many people displaced by #Katrina are now being displaced by #Harvey? They seriously need our prayers.
206,"Retweeted Ranger° (@2Echo68Whiskey):

Dogs displaced by #Harvey are coming in at 60 per hour.  
#Houston... https://t.co/hy5VC27JYF"
207,"@MrDane1982 😂😂😂😂 
That's hilarious! Helping folks displaced by #Harvey would cost him money! He can't buy yachts if… https://t.co/8dClu0mQw4"
208,@NationalADAPT @OccupyDisabled If any disabled &amp; displaced people in #Austin need temporary housing we'll do our be… https://t.co/UtyDkN84iQ
209,@WMWDisability Please keep us in the loop of any ways to help disabled and displaced folks. 💜 #Harvey
210,"Shelters &amp; rescue groups are taking in displaced #Harvey pets here:
@spcaoftexas
@austinpetsalive
@DallasShelter
@sahumane"
211,"I have no idea how this would work, but if a displaced family needs a temporary home for their #dog, I will help. #Harvey #Houston #pets"
212,"@realDonaldTrump Not One Penny better go towards that f*ing wall when there is catastrophic damage,people displaced… https://t.co/JLOS9Ibcao"
213,"We'll have donation links available soon to support #Harvey displaced folks in #Austin. Meanwhile, one option: https://t.co/vMS03PBaVp"
214,"God, what a week to be a Katrina survivor who got displaced to Houston. So many of them have PTSD. My heart really goes out to them. #Harvey"
215,Thanks @Komet_Marketing @davetapia the tudors and masden for helping my family serve the displaced.#victoria… https://t.co/Obdb6k1dg5
216,"Ranger° on Twitter: ""Dogs displaced by #Harvey are coming in at 60 per hour. #Houston https://t.co/Brz9YNWw8Z"" https://t.co/nhSh3qyQ59"
217,It's likely that there will be hundreds of thousands - if not millions - of displaced Americans when this is all said and done. #Harvey
218,.@RedCross thanks for helping #Harvey #DisasterRelief for our displaced #Texas citizens .@iamwaters #Water  #Word 4… https://t.co/A6dqXbwQfC
219,Please use #displacedpets and send photos #Harvey https://t.co/WQGqBQYxKl
220,Does anyone know of an organization that is/will help relocate #Harvey people who are displaced/have lost their homes?
221,"Dogs displaced by #Harvey coming in @60 per hour.
Look at this poor thing hanging on to his kind rescuer.
Thank you! https://t.co/wHiqxFfEnC"
222,Donations to help pets displaced by #Harvey can e dropped off here: https://t.co/riTyejeJwa
223,"It took a storm of tweets for a 16,800-capacity Houston megachurch to open its doors to displaced #Harvey victims https://t.co/OXhWzLlvEr"
224,@MarchForSciHou We are also able to set up a cluster on a cloud for #Harvey-displaced #scientists if there is a nee… https://t.co/nruMTWl9lv
225,soon to be filled with people displaced by #Harvey https://t.co/LcI1Ug1oR2
226,"Here's How You Can Help People Affected By #Harvey, from food to homeless to diapers to displaced animals. https://t.co/q0r7RPxHDW"
227,"My family in Houston was displaced by #hurricane #harvey, but I am glad they are safe. So many people stepped out to help &amp; offered housing."
228,Help #Harvey's displaced: https://t.co/VnZXZ9x9oN
229,"If you or anyone you know is living with HIV and has been displaced by #Harvey, here are resources for you:
https://t.co/kx8FZrP7Io
@HRSAgov"
230,"Prayers For Texas, So sad seeing all these displaced people! #Texas #prayers #Harvey #HarveyRelief"
231,"Thousands are displaced from their homes b/c of #Harvey. I don't often solicit via SM, but pls take a moment to thi… https://t.co/xd2fLiKubY"
232,This photo taken of 2 displaced women post #Harvey in #Houston is what #thewomancode is all about. Sisterhood in th… https://t.co/XEXoUeobW5
233,@SWOPDallas @swophouston are y'all active/doing anything to support sex workers  displaced/out of work due to #Harvey? Want to boost if so
234,Need donations to cont helping animals displaced by #Harvey https://t.co/iA4QYNIQOb via @mmk9_rescue
235,Thank you to all the physicians and nurses who are volunteering down at the Houston convention to those displaced by Hurricane #Harvey 🙏🏼
236,"Let us be thankful for the people out there acting for those who've been displaced and endangered by #Harvey
🙌🙌🙌
https://t.co/2mNFjUdYtr"
237,Important info about students displaced by #Harvey.  #scchat #sccrowd https://t.co/vf60C6BQ9F
238,"#Dickinson water rising again
#BrazoriaCounty a levee just failed
#FortBend dam release has displaced nearly everyo… https://t.co/thZZhSw36v"
239,How you can help #pets displaced by Hurricane #Harvey:... https://t.co/wtUryoviVb
240,"@FortWorth_ISD is ready to serve all displaced by #Harvey, including students and their families. https://t.co/rlO2HhJ9bs"
241,"Houston, San Antonio hotels shelter Texans displaced by #Harvey  https://t.co/2iIKwP00En @hsmai @destintl #eventprofs @asaecenter"
242,"We've created a #hurricanerelief fund 2 help our seniors, #housing clients &amp; staff displaced by #Harvey. Info:… https://t.co/FvEK9BqYa8"
243,Several mosques are open to people who have been displaced by #Harvey. Check out this list if you need help:… https://t.co/yohCUYYs2l
244,Update: Church (pastored by @JoelOsteen ) has open its doors to people displaced from #harvey. This comes after sev… https://t.co/PxIUq9XOVv
245,Sending our thoughts to all the cancer families displaced by Hurricane #Harvey. #malebreastcancer https://t.co/cjBxohW508
246,Texas dogs displaced by Harvey will be landing in N.J. https://t.co/tnotZmhgaw #bhhsnj #realestate #sthuberts #dogs… https://t.co/XZ0gq03gIn
247,New Jersey shelters to help #dogs displaced from #Harvey https://t.co/51KormqjZ5
248,New Jersey shelters to help #dogs displaced from #Harvey https://t.co/3fLXOboGl2
