text,label
@MayorAdler says Red Cross has plenty of volunteers but needs funds. You can text REDCROSS to 90999 to donate $10. #Harvey,Money
"@Microsoft donating $2.5 million in cash, technology, and services to support relief efforts #HurricaneHarvey _™È‘_™è_https://t.co/5Ulu3gNDmV",Money
"@mingoramirezjr Should have a donation drop truck for our friends in South Texas. Water, towels, blankets, clothes._Ñ_ https://t.co/frtcu2QfAG",Donation
"@RedCross I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?",Money
"@RedCross I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?",Money
@RedCross I'm from Minneapolis. I've got a closet full of clothes I don't wear/need anymore. How and where can I donate to help?? #Harvey,Donation
"@SalvationArmyUS I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?",Donation
"@SalvationArmyUS I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?",Money
"@SalvationArmyUS I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?",Money
@TxDOTHoustonPIO: telling people to shelter in place #flooding #Harvey https://t.co/bqkBZMvsLp,Relocation
"*Our partner @RedCross is providing shelter, food &amp; comfort for ppl impacted by #harvey. Learn how you can help:https://t.co/KFCvTLzdMl",Relocation
"#Austin fam,  @CapitalFactory's hosting a blooddrive on Fri 4 those affected by #Harvey. 5 spots left. Sign up here: https://t.co/68gJINg4mh",Donation
"#blooddrive extended til 6p to support coastal cities affected by #Harvey. At La Villita with SVP @RudyDGarza,_Ñ_ https://t.co/XyP1qOhYRs",Donation
"#Breaking news: Female driver died when she exited her car in high water in west Houston, #harvey, https://t.co/QbF2qQOTrG via @houstonchron",Health
"#BREAKING: Undocumented evacuees will not be asked for identification at the shelters.#HurricaneHarvey #Harvey",Relocation
#cancer AmericanCancer: Please help us provide transportation and lodging to cancer patients impacted by #HurricaneHarvey. Donate here:_Ñ_ _Ñ_,Transportation
#denton #dentontx Give blood for #Harvey https://t.co/CX3agGiEwU,Donation
#Harvey Help Hotline has been established for farmers &amp; ranchers seeking animal shelter or relocation and to report_—_ https://t.co/E8Kv67ifXy,Animals
#Harvey is a reminder of how wonderful people can be. Profound respect for the many first responders &amp; volunteers helping those in need.,Volunteering
#Harvey Plz donate 2 LOCAL charities who'll help TX! Animal rescue orgs need $$ &amp; volunteers. HOU did great w/Katrina; ppl need food/shelter,Animals
#Harvey Plz donate 2 LOCAL charities who'll help TX! Animal rescue orgs need $$ &amp; volunteers. HOU did great w/Katrina; ppl need food/shelter,Animals
#Harvey UC blood center urging donors to make appointments https://t.co/9c0nK0C4WV https://t.co/ZqF0Z6VuzB,Donation
#Harvey UC blood center urging donors to make appointments https://t.co/iuJml6tVQZ https://t.co/DAFP893kJi,Donation
#Harvey UC blood center urging donors to make appointments https://t.co/uYoZZVEGhJ https://t.co/Ue66NY2TXl,Donation
"#Harvey's impact will affect the nation_Ñés transportation network, impacting... https://t.co/IPWi0YpwiP by #RoanokeTrade via @c0nvey",Transportation
#HD126 is full of amazing volunteers. Special s/o to our healthcare professionals who are using their expertise to_Ñ_ https://t.co/pG7g7WP1Yz,Health
#HelpforHouston Funds needed more than goods-every little bit helps. #HurricaneHarvey @991PLRFM @WFSBnews @RedCross https://t.co/oqVDog6i2c,Money
#houstonflood Give what you can to .@RedCross. Donate blood. Help the people affected by #Harvey.  https://t.co/XCDz1UizrU,Donation
"#Jewish camps offer accommodations to hurricane evacuees: https://t.co/G07t8Iuuak@URJGFC @CampYoungJudaea #HoustonStrong #HurricaneHarvey",Relocation
#Jewish summer camps are reopening to host #Houston victims | Jewish Telegraphic Agency #HurricaneHarvey https://t.co/E5o1OB50dn,Relocation
#Jewish summer camps in Texas have reopened their doors to host #Houston victims of #HurricaneHarvey. Via @JTANews. https://t.co/dfxLW47ZNr,Relocation
#Languageaccess services critical to 37% of #Houston metro area population age 5+ who speak a language other than English #HurricaneHarvey,Volunteering
#NOW Voltunteers are also preparing the Salvation Army gym into a disaster shelter for hurricane evacuees._Ñ_ https://t.co/a5jAUaexdr,Volunteering
"#RedCross is providing shelter, meals &amp; comfort to people impacted by #Harvey. To find a location: https://t.co/oxkA85Jpek or 1-800-REDCROSS",Relocation
#RedCross trains 70 volunteers in this series of boot camps in #Charlotte. It's intense and interest is high with_Ñ_ https://t.co/qZrOHKzty1,Relocation
#RedCross volunteers helping with #Harvey recovery from their own homes. https://t.co/kBTT8WHqQ1,Relocation
#RedCross: More than 700 volunteers from across the country have come to help evacuees #Houston #Harvey https://t.co/i0wblQ1O4h,Volunteering
#SanAntonio blood donations needed to sustain #Harvey evacuees. Find a station near you https://t.co/gyUe9IdP3y,Donation
"#StandUP4Houston updated w/ more orgs collecting diapers, providing refugee services, etc. https://t.co/slVydKtXhs_—_ https://t.co/D7agkdnDcM",Volunteering
"#Texas doesn't need a visit from #Trump They need money, help, resources, shelter.Stay home #ConManInChief #Harvey_Ñ_ https://t.co/Eh28BuilF7",Money
#TPWD offering free campsite for folks fleeing #HurricaneHarvey. https://t.co/uuiyWuwevO,Relocation
"1 Big Island volunteer deployed to TX in response to #Harvey and 5 other volunteers from the Big Island, Maui &amp; Oah_Ñ_ https://t.co/NW5ozZDkLc",Volunteering
"13,000 rescued. 18 dead from #Harvey in #Texas On @wsoctv #Daybreak at 5am, how evacuees are jumping into to help as volunteers.",Health
"2/ what the needs will be in the coming days. #Harvey Said food bank gets 3 meals out of every $1, so cash donations best at this time.",Money
"3 dead: 1 Rockport, 2 Houston. Water rising. Record levels :'( open water rescues. High water rescues. #Harvey... https://t.co/EnQtHf9JCL",Health
7 million in #Harvey disaster area. Can't get them into shelters because shelters aren't equipped? We knew this was coming. Dang.,Relocation
"A displaced sailboat rests in front of a dog-grooming business along a flooded street in Palacios, Texas. #Harvey https://t.co/AjjMMbue5o",Relocation
A list of multiple shelters in #Houston! Along with a list of phone numbers for rescue in the area! #Pray4Houston_Ñ_ https://t.co/yWt5CU4TDt,Relocation
A shelter in place order has been issued in Houston. Millions of people told not to leave their homes. @wsvn #Harvey https://t.co/aaYD6WckdY,Relocation
Adopt a rescue dog from Houston due to #Harvey &amp; CEO will pay fees &amp; transportation https://t.co/1RR586nRzC,Animals
"After an amazing tournout of 5k+ new volunteers, the Red Cross in Austin has no unmet volunteers needs at this time. #harvey #austin",Volunteering
"AgriLife Extension helping with #sheltering small, large #animals displaced by #Harvey https://t.co/gci1HKeWwy",Animals
"AgriLife Extension helping with sheltering small, large animals displaced by #Harvey https://t.co/6Q5EGmncL8 https://t.co/5R75qkSsAm",Animals
Airbnb is helping Hurricane #Harvey evacuees find shelter. https://t.co/QWcgLiH6iD #StormPrep #Safety,Relocation
"Airbnb is offering free stays for Hurricane #Harvey evacuees, relief workers and volunteers https://t.co/nijnUhcH3X",Relocation
"All @TEGNA stations are raising money for the American Red Cross, #Harvey relief efforts https://t.co/v0fJoN8fKr https://t.co/4nUIYJqn9j",Money
All volunteers must pass a background check. #Harvey https://t.co/etoyZuZvG6,Volunteering
Alpha Phi Omega at @VCU is hosting a #blooddrive with the @RedCross  this Thursday to help those affected by #Harvey https://t.co/HqwDmDMKTg,Donation
Amazing volunteers in Houston #Harvey #TexasFlood won't quit bringing people out by boat at 1a.m. Media and social media stepping up too _ª¥ç _ªÔµ,Volunteering
American Contractors working with Hosea Helps to take goods to help #HurricaneHarvey @cbs46 https://t.co/GLtptg38Gg,Volunteering
"American Red Cross doesn't allow media in #Harvey shelter, but appears more than a dozen volunteers here #GalvNews",Relocation
American Red Cross updating media now at the Delco Center in Austin. This shelter is specifically for evacuees._Ñ_ https://t.co/yYUprsAtRt,Relocation
Animal Defense League of Texas looking for foster volunteers for pets displaced by #Harvey. Also donations. https://t.co/YHsQQs6NoS,Animals
"Animals are often left behind during disaster. Help a local shelter w/your time/$$/supplies #Harvey @HumaneSocietyhttps://t.co/CzASDosvrY",Animals
Animals will need a place for sheltering until they can be reunited with owners. Microchips help immensely! #Harvey https://t.co/TIVb6HiaPW,Animals
Anybody else know of local groups or volunteers helping out with #Harvey relief efforts? https://t.co/3OArdLvB0K,Volunteering
"As #Harvey approaches; shelter those with no home, aid those who are lost, and care for all. Now is the time when we show our humanity.",Relocation
"At least three nursing homes in Port Arthur are currently being evacuated, volunteers say. #SETXNews #Harvey",Relocation
Austin folks - we'll be fine. Calm down. Go out and help those displaced this weekend who will really need our support. #atxwx #Harvey,Relocation
"AUSTIN: @austinpetsalive needs supplies, volunteers for emergency #Harvey pet shelter: https://t.co/zce6cCD92H",Animals
Bennett DriveAway transporting bunkhouse trailers to house volunteers for #Harvey recovery effort. #transportation_Ñ_ https://t.co/ZNb3GJJyM3,Transportation
"BEYOND HEROES: Our incredible team of volunteers, chaplains and county employees getting info out to the public._Ñ_ https://t.co/oHvVskMUZM",Volunteering
Bless these volunteers helping to rescue with their boats. #Harvey #houstonflood https://t.co/7DhSnOdPTh,Volunteering
Blood Drive today at Tipitina's! Organizers are hoping you give blood for the victims of #Harvey https://t.co/9yBdtpYWAy,Donation
"Blood, shelter, food - there are many things to donate. However, the most effective one: #money. #Harvey #Disaster_—_ https://t.co/LYE1GnMlpO",Money
"Bring more boats and volunteers! 12,000 National Guard are not enough. Thousands awaiting rescue. #Houston #Harvey",Volunteering
Bus after bus after bus... to pick up those rescued by boat to take to shelters. Thank you to our volunteers &amp; firs_Ñ_ https://t.co/N5pmZH0yHl,Transportation
Buses are taking evacuees to shelters and other stops away from Dickinson @Fox26Houston  #Harvey https://t.co/1a0povcGS7,Transportation
C'Mon @CNN! You can't evacuate if you don't have transportation or money to do so!!! How about you use your influen_Ñ_ https://t.co/xUeww8d3cP,Transportation
"Call GRB Harris County, LoneStarConvCtr Conroe Montgomery County they are in  desperate need of volunteers food bedding &amp; clothes. #Harvey",Donation
Can #Texas provide free #Publictransportation? folks trying to get to work. Gas shortage! #Houston ##NBC #weatherchannel #HurricaneHarvey,Transportation
can we donate clothes at shelters?? #Harvey,Donation
Central Red Cross has issued an urgent request for volunteer shelter workers &amp; managers. #Harvey,Volunteering
Check this out! Volunteers are coming together to get these trucks filled with goods to drive to Texas to help vict_—_ https://t.co/pCZwpX4uIA,Volunteering
"City needs volunteers: anyone who can safely travel 2 the Toyota Center @ 1510 Polk St, Houston, TX 77002. Setting up a new shelter. #harvey",Volunteering
Coalition for the Homeless partners are offering emergency shelter to homeless individuals/families during #Harvey:_Ñ_ https://t.co/Hw48Z8MrhS,Relocation
"Concerned about finding shelter?  Call 311 in #houston/ #HarrisCounty. High water Rescue?   OEM standing by at 911, to come get you. #harvey",Relocation
Couldn't get into the @RedCross training class for #Harvey bc there were TOO MANY volunteers! What an awesome problem to have! @GovAbbott,Volunteering
Current @RedCross shelters set up in S. Texas. Good time to download Hurricane app &amp; stay updated on shelter info._Ñ_ https://t.co/WbNtRgUFed,Relocation
Dallas has opened shelters for those made homeless by #Harvey.,Relocation
"Dallas is opening 5,000 beds at the downtown convention center. We have food, shelter, beds. #Harvey #houston",Relocation
"Dallas is opening 5,000 beds at the downtown convention center. We have food, shelter, beds. #Harvey #houston",Relocation
Dallas Texas is opening a mega shelter for people displaced from Hurricane #Harvey,Relocation
"DFW area shelters evacuate dogs and cats from Corpus Christi Animal Shelter ahead of #Harvey.#FOX26NEWS_Ñ_ https://t.co/nM5Nm5lMFo",Animals
Dial 211 if you are seeking a large or small animal shelter or holding facility. #harvey #HurricaneHarvery #txwx https://t.co/ONnPXz3orb,Animals
Displaced dog jumped into my jeep. Please share to help find owner! #harvey #hurricane #displacedpets https://t.co/0C6Ve9bN78,Animals
Displayed dog #harvey Share a bunch #hurricane #displacedpets https://t.co/CA5Mgtgsa8,Animals
"Do Not Drop Your Pets off at Animal Shelters, Do not leave them, take them with you if you seek shelter_Ñ_ https://t.co/CYDM2myFvT",Animals
Do you need temporary relocation for your #cancer treatments? Call @TexasOncology: 1-888-864-4226._—_ https://t.co/gVqep64F6Q,Relocation
Do you require temporary relocation of your #cancer treatment? Call @TexasOncology: 1-888-864-4226._—_ https://t.co/5VfA3kHduq,Relocation
"Doctors working through #Harvey have said the med center is low on supplies, especially blood and platelets. Pls donate if possible/safe!",Donation
"Does anyone know of any organizations in the DFW area that are collecting physical goods (food, clothes, etc) for #Harvey victims? #Houston",Donation
Dog found in #RungeTexas #Harvey #lostdog #displacedpets https://t.co/v7nS8N3NzA,Animals
Dog Update: At least 10 of the dogs have been removed from the shelter into foster/forever homes. Waiting to learn more... #Harvey #RGV,Animals
"Dogs displaced by #Harvey are coming in at 60 per hour.  #Houston https://t.co/Brwmr3Gc1v",Animals
Don't forget to take your pets with you! Here's a shelter list for pets: https://t.co/QbcErLgS8m #Harvey2017_Ñ_ https://t.co/RW1svjC4b2,Animals
"Donate $ (Red Cross, Salvation Army, etc) or blood to help #Harvey victims- unfortunately, the event is long-lasting.https://t.co/Q1OKVUPMAN",Donation
Donate $10 to Red Cross to help people hurt/displaced by #Harvey - text 90999 https://t.co/3ooD1TkhcK,Donation
"Donate diapers https://t.co/5BS9FSrqeXDonate to The American Red Cross https://t.co/OfpZIcpM45Donate blood_Ñ_ https://t.co/ptKtJTQUOf",Donation
"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx",Donation
"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx",Money
"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx",Relocation
Donating blood for #harvey. #Unt is having a blood drive tomorrow 9-6 in one of the dorms. Easy (and free) way to h_Ñ_ https://t.co/rmKzCIO3Vq,Donation
Donations are in GREAT need to help those who are displaced by  #Harvey. Text RED CROSS to 90999 to send a $10 dona_Ñ_ https://t.co/LiLCmK0bgH,Relocation
Donors of all blood types needed to help our neighbors in need. #PrayersforTexas #Harvey #Houston https://t.co/aTtH8ZX9QM,Donation
Donors of all blood types needed to help our neighbors.  #PrayersforTexas #Houston #Harvey https://t.co/nyPdAzaTO2,Donation
Donors of all blood types needed to help.  #PrayersforTexas #Harvey #Houston https://t.co/RBJf4xdEMa,Donation
"Dozens of volunteers are here cooking food, helping with medicine, &amp; organizing games. It's beautiful to see._—_ https://t.co/PU9c1dVlNd",Volunteering
"Drop off clothes, non perishable food items, toiletries, medical supplies  #purecyclespinstudio @ 300 CabanaRd  #harvey",Donation
"Emergency relief centers are opening in Austin for people displaced or affected by #HarveyBe safe and evacuate early.",Relocation
"Emergency services to people affected by #HurricaneHarvey offered by #USCIS - can as to expedite, #workpermit #EAD https://t.co/4WTYmc1uRB",Volunteering
"Enough can't be said to honor the efforts of police, fire, EMS, and volunteers working through this historic storm. #Harvey @cbsbaltimore",Volunteering
ETX food bank is asking for monetary donations to help #Harvey victims. Extended volunteer hours start tomorrow (8a-8p). @kytxcbs19,Money
Evacuees are still in need of food &amp; clothing donations. Mayor @Ron_Nirenberg also encourages residents to consider donating blood. #Harvey,Donation
Evacuees from #Harvey from #Galveston will be told to go to #Atx @CenTexRedCross is looking for volunteers to help at shelters. @fox7austin,Volunteering
"Even if ppl could leave home, remember shelters don't accept pets.  Most pet owners will NOT leave their _ªê_ _ªê± alone in a hurricane. #Harvey",Animals
Excellent info for #Harvey #volunteers Live map: Where you can do the most good https://t.co/ut5nC0z8Xt via @HoustonChron,Volunteering
"Excellent job @superdupre and @FortBendISD on opening shelters and providing food, clothes and comfort to the commu_Ñ_ https://t.co/NsMes7P2ou",Donation
Excellent place to donate to help rescue pets/animals displaced in #Harvey https://t.co/LsFqKVPStE,Animals
Experts &amp; volunteers. I call them HEROES. They saved lives in catastrophes like this. God bless them. _ù_«ôè_ªéè_ªè__Ñ_ https://t.co/dXgEBPdFGB,Volunteering
"Feds with Qs on waivers for travel, gov purchase cards usage, and per diem &amp; relocation can call us 24/7: 1-844-895-0606 #HurricaneHarvey",Relocation
Fema camps are up..... report to be deported or get water and food.. what ever.. #houstonflood #Harvey2017,Relocation
Find open shelters in your area with the FEMA App or text SHELTER and your zip code to 4FEMA (43362). Msg &amp; data rates apply. #Harvey,Relocation
"Flooding remains a threat from #Harvey...meaning many displaced loved ones. Pass this along, it's just awesome so... https://t.co/HdjwVXly8e",Relocation
"Follow @ATXFlood for updates on community-driven efforts to support those displaced or affected by #Harvey. #HarveyStorm #Austin #MutualAid",Relocation
"Food, water, blood &amp; monetary donations are all needed for those affected by #Harvey.  Text ""HARVEY"" to 90999 to make $10 Red Cross donation",Donation
"For #HurricaneHarvey, $$ helps more than goods. Receiving, sorting, storing random stuff distracts from urgent tasks so it just sits there.",Money
For those who want to help. The Red Cross is looking for volunteers. #howtohelp #harvey_Ñ_ https://t.co/oX9MhUBXd3,Volunteering
"Freeman Coliseum is designated shelter in SATX for evacueesCall 311 to volunteerDownload Ready Set Texas app for info on routes#Harvey",Volunteering
"Friends, we are safe &amp; dry. Other parts of TX have been hit hard. One way to help from afar: donate blood. Hospitals in shortage. #Harvey",Donation
Get list of current shelters on fema app https://t.co/g1CRyqfAeD.   #houstonflood #harvey #houston,Relocation
"Get out now Houston!Don't shelter in place with rising water. Remember Katrina!#houstonflood #Harvey #Texas Whe_Ñ_ https://t.co/6mIDteY0qR",Relocation
"Get the fingers moving folks. Social media is huge in bringing volunteers into Houston for rescue, volunteer and assistance! #Harvey",Volunteering
Getting rid of a bunch of clothes. Anyone know where I can send them in Houston to help those affected by #Harvey?,Donation
Give blood. #Harvey. #khou #HouNews https://t.co/RYRbkzl3AO,Donation
"Give money, blood, or your time. Anything else could be a waste--&gt; How you can help #Harvey victims https://t.co/kv2BcpT1IU",Donation
"Given the severity of #Harvey, please consider donating blood. https://t.co/g9JdrBvsKq",Donation
Go out and donate blood for #Harvey https://t.co/CdW0jOB9IB,Donation
God bless Jim Mcingvale. He's opening his stores as shelters for those affected by #Harvey. #mattressmack #galleryfurniture #houstonflood,Relocation
Good info for Leander on #Harvey. Call 311 or follow #ATXshelter for official shelter information. https://t.co/cpBSyNn5ju,Relocation
Good Samaritans join Harvey rescue efforts across Texas https://t.co/oozv0pEYKX #hurricaneharvey #goodsamaritan #rescue,Volunteering
Goodbyes at Dallas shelters. #Harvey evacuees can't have pets in shelters. Animal Services take them. To be reunite_Ñ_ https://t.co/pqS7xe82sN,Animals
Gov. Greg Abbott visited a Red Cross Shelter today available for families displaced by Hurricane #Harvey. Photos by_Ñ_ https://t.co/19M6NQzQBy,Relocation
Governor Abbot and Senator Cornyn serving food at an Austin evacuation center #hurricaneharvey #harvey https://t.co/drT7OOwgDv,Volunteering
GRB Convention Center in DT #Houston is a shelter accepting pets. No papers or ID necessary. #Harvey #HurricaineHarvey,Animals
Great to see many volunteers helping with boats in #Houston  rescues. It's sad people have to leave home but life is more important! #Harvey,Volunteering
Greenspoint residents MO Campbell Center shelter is still open. #Greenspoint #houstonflood #Harvey #HurricaneHarvey,Relocation
Growing list of ways to help #Harvey victims in #Houston + #Texas. Give $ or blood or shelter. https://t.co/kaMJhQKEAV #HurricaneHarvey,Donation
Had people come up to me giving out food to us because they lost  their lights to their business and it's got flooded badly #Harvey praying,Volunteering
"Handing out food boxes after #Harvey, ""Suddenly I saw her face freeze up as she was confronted w/ sandwiches named _—“Padrino_—ù and _—“Pomodoro_—ù""",Volunteering
"Happy to host 71 students &amp; 1 dog from @AggiesByTheSea in College Station 4 shelter, food, &amp; Donation in the midst of #Harvey. #AggieFamily",Volunteering
"Happy to host my apartment  in College Station for shelter, food, &amp; Donation in the midst of #Harvey. #AggieFamily https://t.co/i2N0wEZUFD",Relocation
Harmony School @HPSExcellenceSA gathering donations for people displaced by #Harvey.  See list of needed items and_Ñ_ https://t.co/mY3NMk5Agr,Relocation
"Harris County Sheriffs Office is performing multiple high water rescues1 person confirmed dead of drowning in Hou_Ñ_ https://t.co/cVXjj64QFq",Health
"Having worked Nat'l disasters pls keep in mind Tx folks will need clean, dry clothes, toiletries, hot meal and a hug. Pray for #tx #harvey",Donation
healthcare volunteers needed at all #Houston shelters!  George R Brown has many people in need volunteer if you can! #Harvey #HoustonStrong,Health
Help those affected by #Harvey. If I can't donate $ there are plenty of people/animals in need of food/shelter/meds &amp; blood donations.,Donation
"Help with #Harvey efforts by donating blood. @LifeServeBldCtr #bloodmobile here this Fri., 9/1, 10-1. Urgent need &amp;_Ñ_ https://t.co/tlyHnEaP2f",Donation
Here are a few relief organizations for #Harvey #Houston :  Pls donate if you can and rt.  #Galveston food bank https://t.co/n5VXMpv2dT,Money
"Here's a list of approved shelters, Houston! If safe, stay inside &amp; off the streets! #Harvey #houwx https://t.co/UsBkeidT4j",Relocation
"Here's why you should always donate money instead of goods after a disaster.#HurricaneHarvey #Beaumont #Houstonhttps://t.co/0IF034VFbr",Money
"Hey @abc15 @CBS5AZ @azfamily anyone know how we can directly donate clothes,supplies,toys,etc to those impacted by #Harvey ? #houston",Donation
Houston cares. People really need baby products and men's clothes. #HoustonFloods #HARVEY https://t.co/HxkwHSDeTR,Donation
"Houston Chronicle list of legitimate donation sites for $$, goods, food, &amp; blood donationshttps://t.co/3tSEaXNREF_Ñ_ https://t.co/hOu2sQTGe8",Donation
Houston mayor Sylvester Turner needs to open more then 2 shelters. People are trapped by rising water._Ñ_ https://t.co/wMpiAu0Blb,Relocation
Houston's police chief just told me it appears one woman has died after driving into flood waters #Harvey @nbc6 https://t.co/EWbG42CyAW,Health
How #HurricaneHarvey is disrupting the #transportation industry: https://t.co/l3E99gmM3M,Transportation
How do we spend your money? We use it to help people impacted by #Harvey. The volunteers of TR are #BuiltToServe._Ñ_ https://t.co/8LJGM80uXW,Money
"How To Help The #Victims Of #Hurricane #Harvey. Donations of #food, #money &amp; #blood are all sought. #US #American_Ñ_ https://t.co/heFAa07WEB",Donation
HPD had to rescue us and we are waiting to be taken to an unknown location. I'm assuming a shelter. #Harvey,Relocation
"https://t.co/IXdh8iSoQV  Harvey: Stars react, donate money in support of relief efforts #HurricaneHarvey #Harvey #ladygaga #Beyonce",Money
Huge THANK YOU to the volunteers who took training today to help in shelters. #standingroomonly  #harvey https://t.co/DXJdEHtwzU,Volunteering
"Hurricane #Harvey: Stars react, donate money in support of relief efforts https://t.co/gHJYqnDtOM",Money
I am flooded in myself but I have a ton of Men's clothes to give away to those in need during this troubled time! #Harvey,Donation
i have a ton of baby clothes packed and ready to be shipped. #Harvey.,Donation
I have baby/toddler clothes and diapers I would like to donate to the shelters here in Dallas. Where? @RedCross @CityOfDallas #Harvey,Donation
I have hella kids clothes to donate. #Harvey #Houston #HurricaneHarvey How can I help?,Donation
I have plenty of clothes that I'm not in need of. Does anybody know where to drop off clothes to donate? #Harvey,Donation
I really want to get to a shelter to volunteer. I feel so bad just sitting as my neighborhood is barely getting anything. :/ #Harvey,Volunteering
I scheduled a Red Cross blood donation. Join me to help save lives: Laguna Hills Blood Donation Center https://t.co/hiAOQPONx9 #harvey,Donation
"I want to offer my deepest thanks to  all the volunteers helping with #Harvey, especially those helping the scared and displaced animals",Animals
I'm donating money to help the ones affected by #Harvey,Money
I'm happy to help load a semi full of goods for the displaced persons in TX.  Shipping from Mich.  #helpinghand #HarveyFlood #Harvey2017,Volunteering
"I'm incredibly proud of the responsive efforts of my local/state government, first responders &amp; volunteers. I'm pro_Ñ_ https://t.co/Td61lD2YI2",Volunteering
I'm raising money for #Hurricane #Harvey Disaster Relief. Click to Donate:  https://t.co/b70bImngKo #strongtoghter,Money
I'm raising money for Harvey Relief Fund. #Harvey #PrayforTexas #GalvestonCounty  Click to Donate:  https://t.co/YKwqTvoK6H,Money
I'm raising money for help the familys HURRICANE HARVEY. Click to Donate:  https://t.co/cOmLY78v7R via @gofundme #harvey #HURRICANEHARVEY,Money
I'm raising money for The Blue Shed. Click to Donate: #BlueShed #HurricaneHarvery #Harvey Let's do it! https://t.co/E9Eg6vVyfd via @gofundme,Money
ICYMI: Pets are allowed in #Harvey shelters! Pls bring food and what pet supplies you can. https://t.co/0xe6B3w3RK,Animals
